sundanese:0 "Sundanese"
local_army_organisation:0 "Local Army Organization"
streamlined_galley_production:0 "Streamlined Galley Production"
edict_of_resistance:0 "Edict of Resistance"
public_welfare_act:0 "The Public Welfare Act"
the_spy_discovery_act:0 "The Spy Discovery Act"
enforce_religious_law:0 "Enforce Religious Law"
cloth_quality_edict:0 "Cloth Quality Edict"
policy_of_calculate_delay:0 "Policy of Calculated Delay"
production_quota_act:0 "The Production Quota Act"
encouragement_of_merchant_navy:0 "Encouragement of Merchant Navy"
black_chamber_act:0 "The Black Chamber Act"
the_tolerance_act:0 "The Tolerance Act"
commercial_embassies:0 "Commercial Embassies"
vassal_taxation_policy:0 "Vassal Taxation Policy"
the_stamp_act:0 "The Stamp Act"
weapon_quality_standards:0 "Weapon Quality Standards"
colonial_administration_act:0 "The Colonial Administration Act"
trade_kontor_network:0 "Trade Kontor Network"
underhanded_diplomacy_act:0 "The Underhanded Diplomacy Act"
mandatory_service:0 "Mandatory Service"
military_zeal_act:0 "The Military Zeal Act"
professional_diplomatic_corps:0 "Professional Diplomatic Corps"
letters_of_marque:1 "Sponsored Privateers"
colonial_companies_act:0 "The Colonial Companies Act"
protected_shipping_lanes:0 "The Protected Shipping Lanes Act"
church_sponsored_guilds:0 "Religiously Sponsored Guilds"
record_keeping_act:0 "The Recordkeeping Act"
military_allotment_act:0 "The Military Allotment Act"
the_pioneer_policy:0 "The Pioneer Policy"
land_inheritance_act:0 "The Land Inheritance Act"
chaplains_of_the_fleet:0 "Chaplains of the Fleet"
field_priests:0 "Field Priests and Soldier's Prayer Books"
exchange_of_ideas:0 "Exchange of Ideas"
vassal_obligations_act:0 "Vassal Obligations Act"
foreign_advisors:0 "Foreign Advisors"
vassal_integration_act:0 "Vassal Integration Act"
overseas_dominions:0 "Overseas Dominions"
enlightened_aristocracy:0 "Enlightened Aristocracy"
the_liberation_act:0 "The Liberation Act"
visionary_thinkers:0 "Visionary Thinkers"
the_transportation_act:0 "The Transportation Act"
harbour_administration:0 "Harbor Administration"
supply_convoys:0 "Supply Convoys"
cultural_recognition_act:0 "Cultural Recognition Act"
multilingual_diplomats:0 "Multilingual Diplomats"
native_assimilation_act:0 "Native Assimilation Act"
cultural_understanding:0 "Cultural Understanding"
the_foreign_aid_act:0 "The Foreign Aid Act"
cultural_unity:0 "Cultural Unity"
the_citrus_statute:0 "The Citrus Statute"
terms_of_surrender_statute:0 "Terms of Surrender Statute"
skilled_cartographers:0 "Skilled Cartographers"
fortified_trading_posts:0 "Fortified Trading Posts"
the_integrated_administration_act:0 "The Integrated Administration Act"
the_cooperation_act:0 "The Cooperation Act"
the_naval_supremacy_act:0 "The Naval Supremacy Act"
the_maritime_intelligencer_unit:0 "The Maritime Intelligencer Unit"
the_nautic_education_act:0 "The Nautical Education Act"
zealous_captains:0 "Zealous Captains"
autonomous_estates:0 "Autonomous Estates"
inspirational_leaders:0 "Inspirational Leaders"
the_naval_inspection_act:0 "The Naval Inspection Act"
the_preparation_act:0 "The Preparation Act"
local_militias:0 "Local Militias"
unified_army_command:0 "Unified Army Command"
guerilla_warfare:0 "Guerrilla Warfare"
pen_rely_on_sword_act:0 "The Pen Relies on the Sword Act"
taxation_with_representation:0 "Taxation with Representation"
the_combination_act:0 "The Combination Act"
the_court_of_wards_and_liveries:0 "The Court of Wards and Liveries"
formalized_measures:0 "Formalized Scales, Weights and Measures"
agricultural_cultivations:0 "Agricultural Cultivation"
colonial_expansions:0 "Colonial Expansion"
the_importation_act:0 "Importation Act"
the_mining_act:0 "The Mining Act"
hold_the_weather_gauge:0 "Hold the Weather Gauge"
restrictions_for_colonies:0 "Colonial Restrictions"
the_liquor_act:0 "The Liquor Act"
the_witchcraft_act:0 "The Witchcraft Act"
the_education_act:0 "The Education Act"
the_statute_of_monopolies:0 "The Statute of Monopolies"
the_recruiting_act:0 "The Recruitment Act"
the_tenures_abolition_act:0 "The Tenures Abolition Act"
the_dissolution_act:0 "The Dissolution Act"
the_licensing_of_the_press_act:0 "The Licensing of the Press Act"
the_wooden_wall:0 "The Fleet is our Wooden Wall"
beneficial_neglect:0 "Benign Neglect"
the_provincial_taxation_system:0 "Provincial Taxation System"
foreign_conscription_centers:0 "Foreign Conscription Centers"
steppe_supplies_policy:0 "Steppe Supplies"
to_the_ground_policy:0 "To the Ground"
calming_the_tides_policy:0 "Calming the Tides"
esprit_de_corps_policy:0 "Esprit de Corps"
otto_per_mille:0 "Otto Per Mille"
religious_spread_policy:0 "Religious Spread"
omnism_policy:0 "Omnism"
ora_et_labora_policy:0 "Ora et Labora"
administration_of_sacred_land_policy:0 "Administration of Sacred Land"
shared_land_policy:0 "Shared Land"
disruptive_innovation_policy:0 "Disruptive Innovation"
ancestor_worship_policy:0 "Ancestor Worship"
steppe_nomad_migrations_policy:0 "Steppe Nomad Migrations"
riverine_navy_policy:0 "Riverine Navy"
passport_to_merchants_policy:0 "Passport to Merchants"
faith_advisors_policy:0 "Faith Advisors"
one_and_true:0 "One and True"
maritime_scribes:0 "Maritime Scribes"
solidarity_policy:0 "Solidarity"
appeal_to_old_powers_policy:0 "Appeal to the Old Powers"
indirect_approach_policy:0 "Indirect Approach"
loyalty_to_the_land_policy:0 "Loyalty to the Land"
commercial_tribes_policy:0 "Commercial Tribes"
war_horses_policy:0 "War Horses"
the_best_defense_policy:0 "The Best Defense"
omne_datum_optimum_policy:0 "Omne Datum Optimum"
wielders_of_the_flaming_sword_policy:0 "Wielders of the Flaming Sword"
the_three_sisters_policy:0 "The Three Sisters"
by_the_people_for_the_people_policy:0 "By the People, for the People"
war_on_our_terms_policy:0 "War on Our Terms"
fear_tactics_policy:0 "Fear Tactics"
psychological_warfare_policy:0 "Psychological Warfare"
kharash_policy:0 "Kharash"
my_word_is_my_bond_policy:0 "My Word Is My Bond"
render_unto_caesar_policy:0 "Render Unto Caesar"
canoe_expertise_policy:0 "Canoe Expertise"
mil_tech_cost_modifier:0 "Military Technology Cost"
adm_tech_cost_modifier:0 "Administrative Technology Cost"
dip_tech_cost_modifier:0 "Diplomatic Technology Cost"
aristocracy_ideas:0 "Aristocratic Ideas"
noble_knights:0 "Noble Knights"
serfdom:0 "Serfdom"
noble_officers:0 "Noble Officers"
local_nobility:0 "Local Nobility"
international_nobility:0 "International Nobility"
noble_resilience:0 "Noble Connections"
plutocracy_ideas:0 "Plutocratic Ideas"
tradition_of_payment:0 "Tradition of Payment"
abolished_serfdom:0 "Abolished Serfdom"
bill_of_rights:0 "Bill of Rights"
free_merchants:0 "Free Merchants"
free_subjects:0 "Free Subjects"
humanist_tolerance:0 "Humanist Tolerance"
emancipation:0 "Emancipation"
dynamic_court:0 "Dynamic Court"
innovativeness_ideas:0 "Innovative Ideas"
patron_of_art:0 "Patron of the Arts"
pragmatism:0 "Pragmatism"
scientific_revolution:0 "Scientific Revolution"
optimism:0 "Optimism"
religious_ideas:0 "Religious Ideas"
deus_vult:0 "Deus Vult"
missionary_schools:0 "Missionary Schools"
church_attendance_duty:0 "Church Attendance Duty"
divine_supremacy:0 "Divine Supremacy"
devoutness:0 "Devoutness"
religious_tradition:0 "Religious Tradition"
ecumenism:0 "Ecumenism"
spy_ideas:0 "Espionage Ideas"
privateers:0 "Privateers"
vetting:0 "Vetting"
efficient_spies:0 "Efficient Spies"
diplomatic_ideas:0 "Diplomatic Ideas"
foreign_embassies:0 "Foreign Embassies"
claim_fabrication:0 "Claim Fabrication"
cabinet:0 "Cabinet"
adaptability:0 "Adaptability"
diplomatic_influence:0 "Diplomatic Influence"
flexible_negotiation:0 "Flexible Negotiation"
agent_training:0 "Agent Training"
additional_loyalist_recruitment:0 "Additional Loyalist Recruitment"
offensive_ideas:0 "Offensive Ideas"
grand_army:0 "Grand Army"
glorious_arms:0 "Glorious Arms"
bayonet_leaders:0 "Bayonet Leaders"
battlefield_commisions:0 "Battlefield Commissions"
improved_foraging:0 "Improved Foraging"
improved_manuever:0 "Improved Maneuver"
napoleonic_warfare:0 "Esprit de Corps"
shock_tactics:0 "Shock Tactics"
melee_combat_training:0 "Melee Combat Training"
volley_fire:0 "Volley Fire"
fort_breaker:0 "Fort Breaker"
glory_on_the_battlefield:0 "Gloryseeker"
defensive_ideas:0 "Defensive Ideas"
engineer_corps:0 "Engineer Corps"
military_drill:0 "Military Drill"
regimental_system:0 "Regimental System"
defensive_mentality:0 "Defensive Mentality"
superior_firepower:0 "Superior Firepower"
supply_trains:0 "Supply Trains"
national_conscripts:0 "National Conscripts"
until_the_last_man:0 "Until the Last Man Standing"
improved_body_armor:0 "Improved Body Protection"
terrain_defence:0 "Terrain Defence"
homeland_specialization:0 "Homeland Specialization"
guerilla_warfare_defense:0 "Guerilla Warfare"
relentless_charge:0 "Relentless Charge"
ditch_defense:0 "Ditch Defense"
trade_ideas:0 "Trade Ideas"
shrewd_commerce_practise:0 "Shrewd Commerce Practice"
free_trade:0 "Free Trade"
merchant_adventures:0 "Merchant Adventures"
national_trade_policy:0 "National Trade Policy"
overseas_merchants:0 "Overseas Merchants"
trade_manipulation:0 "Trade Manipulation"
fast_negotiations:0 "Fast Negotiations"
economic_ideas:0 "Economic Ideas"
bureaucracy:0 "Bureaucracy"
organised_construction:0 "Organized Construction"
smithian_economics:0 "Smithian Economics"
national_bank:0 "National Bank"
debt_and_loans:0 "Debt and Loans"
centralization:0 "Centralization"
nationalistic_enthusiasm:0 "Nationalistic Enthusiasm"
exploration_ideas:0 "Exploration Ideas"
colonial_ventures:0 "Colonial Ventures"
quest_for_the_new_world:0 "Quest for the New World"
overseas_exploration:0 "Overseas Exploration"
land_of_opportunity:0 "Land of Opportunity"
vice_roys:0 "Viceroys"
free_colonies:0 "Free Colonies"
global_empire:0 "Global Empire"
naval_ideas:0 "Naval Ideas"
superior_seamanship:0 "Superior Seamanship"
naval_glory:0 "Naval Glory"
grand_navy:0 "Grand Navy"
sea_hawks:0 "Seahawks"
excellent_shipwrights:0 "Excellent Shipwrights"
naval_fighting_instruction:0 "Naval Fighting Instruction"
press_gangs:0 "Press Gangs"
quality_ideas:0 "Quality Ideas"
quality_education:0 "Quality Education"
finest_of_horses:0 "Finest of Horses"
oak_forests_for_ships:0 "Oak Forests for Ships"
private_to_marshal:0 "Private to Marshal"
naval_drill:0 "Naval Drill"
merchant_marine:0 "Merchant Marine"
massed_battery:0 "Massed Battery"
quantity_ideas:0 "Quantity Ideas"
the_old_and_infirm:0 "The Old and Infirm"
the_young_can_serve:0 "The Young can Serve"
enforced_service:0 "Enforced Service"
ships_penny:0 "Ship's Penny"
mass_army:0 "Levée en Masse"
reinforcement_drafts:0 "Salvage our Equipment"
expansion_ideas:0 "Expansion Ideas"
additional_colonists:0 "Additional Colonists"
additional_merchants:0 "Additional Merchants"
faster_colonists:0 "Faster Colonists"
additional_diplomats:0 "Additional Diplomats"
experienced_diplomats:0 "Experienced Diplomats"
competetive_merchants:0 "Competitive Merchants"
administrative_ideas:0 "Administrative Ideas"
organised_mercenary_payment:0 "Organized Mercenary Payments"
benefits_for_mercenaries:0 "Benefits for Mercenaries"
organised_mercenary_recruitment:0 "Mercenary Recruitment"
administrative_efficiency_idea:0 "Administrative Efficiency"
resilient_state:0 "Resilient State"
war_cabinet:0 "War Cabinet"
ENG_ideas:0 "English Ideas"
royal_navy:0 "A Royal Navy"
eltham_ordinance:0 "The Eltham Ordinance"
secretaries_of_state:0 "Secretaries of State"
navigation_acts:0 "The Navigation Acts"
eng_red_coats:0 "Redcoats"
british_bill_of_rights:0 "English Bill of Rights"
GBR_ideas:0 "British ideas"
gbr_acts_of_union:0 "The Acts of Union"
the_british_parliament:0 "Parliament of Great Britain"
british_industrialization:0 "Early Industrialization"
gbr_the_royal_society:0 "The Royal Society"
reform_of_comission_buying:0 "Reform of Commission Buying"
sick_and_hurt_board:0 "The Sick and Hurt Board"
british_merchant_navy:1 "Establish British Merchant Navy"
britanna_rules_the_waves:0 "Britannia Rules the Waves"
AVE_ideas:0 "Angevin Ideas"
angevin_decentralized_rule:0 "Decentralized Rule"
english_common_law:0 "English Common Law"
lessons_of_the_anglo_french_wars:0 "Lessons of the Anglo-French Wars"
the_many_thrones:0 "The Many Thrones of the Plantagenet"
reformed_angevin_infantry:0 "Reformed Angevin Infantry"
seneschal_of_france:0 "The Seneschal of France"
rule_of_the_plantagenet:0 "Rule of the Plantagenet"
EIC_ideas:0 "East India Ideas"
eic_governors_general:0 "Governors-General of India"
eic_indian_trade:0 "Indian Trade"
eic_chartered_merchants:0 "Chartered Merchants"
eic_presidency_armies:0 "Presidency Armies"
eic_intercontinental_trade:0 "Intercontinental Trade"
eic_colonial_monopoly:0 "Colonial Monopoly"
eic_colonial_exploitation:0 "Colonial Exploitation"
SWE_ideas:0 "Swedish Ideas"
kung_och_riksdag:0 "Kung och Riksdag"
swedish_steel:0 "Swedish Steel"
hakkapelitta:0 "The 'Hakkapeliitta'"
indelningsverket:0 "Indelningsverket"
swedish_absolutism:0 "Swedish Absolutism"
produktplakatet:0 "Produktplakatet"
union_and_security_act:0 "Union and Security Act"
MOS_ideas:0 "Muscovite Ideas"
gatherers_of_tribute:0 "Gatherers of Tribute"
legacy_of_dmitriy_donskoi:0 "Legacy of Dmitriy Donskoi"
pomestnoe_voisko:0 "Pomestnoe Voisko"
zasechnaya_cherta:0 "Zasechnaya Cherta"
descendants_of_byzantine_emperors:0 "Descendants of Byzantine Emperors"
seat_of_metropolitan_bishop:0 "Seat of Metropolitan Bishop"
strength_of_the_boyars:0 "Strength of the Boyars"
RUS_ideas:1 "Russian Ideas"
land_of_the_rus:0 "Land of the Rus"
life_long_conscription:0 "Life-Long Conscription"
russian_artillery_yard:0 "Russian Artillery Yard"
abolish_the_mestnichestvo:0 "Abolish the Mestnichestvo"
siberian_frontier:0 "Siberian Frontier"
table_of_ranks:0 "The Table of Ranks"
curriculum_of_the_cadet_corps:0 "Broaden the curriculum of the Cadet Corps"
SPA_ideas:0 "Spanish Ideas"
the_reconquista:0 "The Reconquista"
spanish_inquisition:0 "Spanish Inquisition"
devout_catholisism:1 "Devout Christianism"
inter_caetera:0 "Inter Caetera"
spanish_armada:0 "A Spanish Armada"
siglo_de_oro:0 "Siglo de Oro"
NED_ideas:0 "Dutch Ideas"
amsterdam_wisselbank:0 "Found the Amsterdam Wisselbank"
dutch_trading_spirit:0 "Dutch Trading Spirit"
polders:0 "Polders"
instructie_voor_de_admiraliteiten:0 "Instructie voor de Admiraliteiten"
embrace_humanism:0 "Embrace Humanism"
army_sappers:0 "Army Sappers"
platoon_fire:0 "Platoon Fire"
DAN_ideas:0 "Danish Ideas"
dan_kalmar_union:0 "The Kalmar Union"
dan_sound_dues:0 "Sound Dues"
dan_the_kings_sea:0 "The King's Sea"
dan_royal_mercenaries:0 "Royal Mercenaries"
dan_naval_heroes:0 "Naval Heroes"
dan_colonial_ventures:0 "Colonial Ventures"
dan_danish_absolutism_idea:0 "Danish Absolutism"
FRA_ideas:0 "French Ideas"
fra_taille:0 "The Taille"
estates_general:0 "Estates General"
elan:0 "Elan!"
french_language_in_all_courts:0 "French Language in All Courts"
native_trading_principles:0 "Native Trading Principles"
vauban_fortifications:0 "Vauban Fortifications"
liberty_egalite_fraternity:0 "Liberté, Égalité, Fraternité"
TUR_ideas:0 "Ottoman Ideas"
ghazi:0 "Ghazi"
timariot_system:0 "Timar System"
autonmous_pashas:0 "Autonomous Pashas"
millets:1 "Kanunnames"
lawcode_of_suleiman_01:0 "The Law code of Suleiman"
tulip_period:0 "Tulip Period"
imperial_school_of_naval_engineering:0 "Found the Imperial School of Naval Engineering"
VEN_ideas:0 "Venetian Ideas"
venetian_arsenal:0 "Venetian Arsenal"
printing_industry:0 "Printing Industry"
stato_da_mar:0 "Stato da Màr"
state_inquisition:0 "Found the State Inquisition"
conscription:0 "Naval Conscription"
defend_the_law:0 "Defend the Law"
provveditori_ai_beni_inculti:0 "Found the provveditori ai beni inculti"
PRU_ideas:0 "Prussian Ideas"
kammergericht:0 "Found the Kammergericht"
divided_estates:0 "Divide the Estates"
army_professionalism:0 "Army Professionalism"
noble_cadets:0 "Noble Cadets"
goose_step:0 "The Goose Step"
regimental_cantons:0 "Regimental Cantons"
religious_toleration:0 "Religious Toleration"
POR_ideas:0 "Portuguese Ideas"
afonsine_ordinances:0 "Afonsine Ordinance"
legacy_of_the_navigator:0 "Legacy of the Navigator"
case_de_india:0 "Feitorias"
the_bandeirantes:0 "Encourage the Bandeirantes"
royal_absolutism:0 "Royal Absolutism"
land_before_faith:0 "Land Before Faith"
POL_ideas:0 "Polish Ideas"
folwark_system:0 "Promote the Folwark System"
nihil_novi:0 "Nihil Novi"
peichota_wybraniecka:0 "Piechota Wybraniecka"
winged_hussars:0 "Winged Hussars"
wojsko_komputoe:0 "Wojsko Komputowe"
foreign_section:0 "Found the Foreign section"
focus_on_field_defences:0 "Focus on Field Defenses"
HAB_ideas:0 "Austrian Ideas"
imperial_ambitions:0 "Imperial Ambition"
military_border:0 "Military Frontier"
fugger_banks:0 "Fugger Banking"
habsburg_dominance:0 "Habsburg Dominance"
edict_of_restitution:0 "Edict of Restitution"
austrian_court:0 "Austrian Court"
hofkriegsrat:0 "Hofkriegsrat"
CHI_ideas:1 "Great Ming Ideas"
inward_perfection:0 "Inward Perfection"
yellow_river_dykes:0 "Repair the Yellow River Dykes "
salt_monopoly:0 "Restore the Salt Monopoly"
BAV_ideas:0 "Bavarian Ideas"
everlating_succeession:0 "Institute the Everlasting Succession"
bavarian_purity_law:0 "Bring in the Bavarian Purity Law"
bavarian_state_orchestra:0 "Found the Bavarian State Orchestra"
geistlicher_rat:0 "Establish the Geistlicher Rat"
brewmaster_general:0 "Become Brewmaster General"
professional_army:0 "Found a Professional Army"
royal_order_of_st_george:0 "Found the Royal Order of Saint George for the Defense of the Immaculate Conception "
PER_ideas:0 "Persian Ideas"
the_qizilbash:1 "The Qizilbash"
persian_rug_production:0 "Encourage Persian Rug Production"
the_ghulams:0 "Found the Ghulams"
improved_silk_road:0 "Improve the Silk Road"
encouraged_art:0 "Encourage Art"
promotion_of_irrigation:0 "Promotion of Irrigation"
increased_crown_lands:0 "Increase the Crown Lands"
BUR_Ideas:0 "Burgundian Ideas"
golden_fleece:0 "The Order of the Golden Fleece"
compagnies_ordonnance:0 "The Compagnies d'Ordonnance"
bur_estates_general:0 "Promote the Estates General"
reform_of_feudal_army:0 "Reform of the Feudal Army"
integrated_towns:0 "Integrate the Towns in the Estates General"
freedom_of_worship:0 "Allow Freedom of Worship"
bur_regimental_system:0 "Create the Regimental System"
GEN_Ideas:0 "Genoese Ideas"
reunited_genoa:0 "Reuniting the Nation"
lessons_of_chiogga:0 "The Lessons of Chioggia"
genoese_trade:0 "Rebuilding Genoese Trade"
the_genoese_arsenal:0 "Build the Genoese Arsenal"
overhauled_bureaucracy:0 "Overhaul the Bureaucracy"
the_office_of_grand_admiral:0 "Setup the Office of Grand Admiral "
standardisation_of_designs:0 "Standardization of Designs"
SCO_Ideas:0 "Scottish Ideas"
break_the_black_douglas:0 "Break the Black Douglas"
modernised_royal_scots_navy:0 "Modernize the Royal Scots Navy"
reign_in_the_clans:0 "Rein in the Clans"
comets:0 "Comets?"
royal_revenue:0 "Tighten up Royal Revenue"
basilikon_doron:0 "Basilikon Doron"
act_of_revocation:0 "Pass the Act of Revocation"
HUN_ideas:0 "Hungarian Ideas"
hun_renaissanse_knowledge:0 "A Renaissance Prince"
bulwark_of_christianity:0 "Bulwark of Christianity"
found_the_black_army:0 "Found the Black Army"
reformed_coinage:0 "Reformed Coinage"
curtailed_peasantry:0 "Curtail the Freedom of the Peasantry"
strengthened_towns:0 "Strengthen the Towns"
hungarian_estates_general:0 "Create the Estates General"
JAP_ideas:0 "Japanese Ideas"
tosen_bugyo:0 "Tosen-bugyo"
higashiyama_culture:0 "Higashiyama Culture"
jap_unification_under_the_emperor:0 "Unification under the Emperor"
jap_modernization:0 "Modernization"
jap_maritime_legacy:0 "Maritime Legacy"
jap_land_of_the_rising_sun:0 "Land of the Rising Sun"
jap_kaitakudan:0 "Kaitakudan"
jap_great_power_diplomacy:0 "Great Power Diplomacy"
reformed_land_holding:0 "Reformed Land Holding"
bakufu_chokkatsuchi:0 "The bakufu Chokkatsuchi"
MAM_ideas:0 "Mamluk Ideas"
red_sea_trade:0 "Red Sea Trade"
monuments_to_greatness:0 "Monuments to our Greatness"
purchase_new_mamelukes:0 "Purchase New Mamluks"
mam_army_reform:0 "Reform of the Army "
reform_fellah_system:0 "Reform the Fellah System"
reformed_succession:0 "Reform of the Succession"
mam_monopoly_ports:0 "Monopoly Ports"
NAP_ideas:0 "Neapolitan Ideas"
consolidate_the_royal_domain:0 "Consolidate the Royal Domain"
encouraged_city_living:0 "Encourage City Living"
crush_the_barons:0 "Crush the Power of the Barons"
academia_pontaniana:0 "Academia Pontaniana"
expanded_arsenale:0 "Expand the Arsenale "
city_of_artists:0 "City of Artists"
lazzaroni_support:0 "The Lazzaroni and the Monarchy"
ARA_ideas:0 "Aragonese Ideas"
mercenary_princes:0 "Mercenary Princes"
protection_of_coastlines:0 "Protection of the Coastlines"
ara_mediterranean_trade:0 "Mediterranean Trade"
consolidation_of_the_estates:0 "Consolidation of the Estates"
chartered_merchant_companies:0 "Chartered Merchant Companies"
ara_reformed_admin:0 "Reforming the Administration"
protection_of_the_little_folk:0 "Protect the Little Folk"
TIM_ideas:0 "Timurid Ideas"
timurid_architecture:0 "Timurid Architecture"
the_mantle_of_the_great_khan:0 "The Mantle of the Great Khan"
unleash_the_tiger:0 "Unleash the Tiger"
chagatai_literature:0 "Chagatai Literature"
riches_of_the_silk_road:0 "Control of the Silk Road"
timurid_renaissance:0 "Timurid Renaissance"
MUG_ideas:0 "Mughal Ideas"
an_indian_padshah:0 "An Indian Padishah"
mansabdari_system:0 "The Jagir and Mansabdari Systems"
control_of_the_ulema:0 "Control over the Clergy"
mughal_ibadat_khana:0 "Ibadat Khana - House of Worship"
zabt_system:0 "Zabt System"
mughal_architecture:0 "Mughal Architecture"
fatawa_e_alamgiri:0 "Fatawa-i-Alamgiri"
HSA_ideas:0 "Hanseatic Ideas"
end_of_victual_brothers:0 "The End of the Victual Brothers"
strong_league_obligations:0 "Strong League Obligations"
hsa_shipbuilding:0 "Improved Shipbuilding"
reformed_hanstag:0 "Reformed Hanstag"
hanseatic_levy_system:0 "Hanseatic Levy System"
regularised_contribution:0 "Regularized Contributions"
the_hansa_bank:0 "The Hansa Bank"
MLO_ideas:0 "Milanese Ideas"
renaissance_prince:0 "Renaissance Prince"
patron_of_music:0 "Patron of Music"
lowered_power_of_barons:0 "Lowered Power of the Barons"
age_of_condottieri:0 "The Age of the Condottieri"
encouragement_of_philosophers:0 "Encouragement of Philosophers"
merchant_princes:0 "Merchant Princes"
rulership_of_enlightened_principals:0 "Rulership through Enlightened Principals"
BYZ_ideas:0 "Byzantine Ideas"
regulations_for_mercenaries:0 "Regulations for Mercenaries"
repopulation_of_countryside:0 "Repopulation of the Countryside"
byz_state_admin_reform:0 "Start Administrative Reform"
byz_admin_power:0 "Delegated Power"
merchant_class:0 "Byzantine Merchant Class"
new_imperial_army:0 "The New Imperial Army"
ecumenical_patriarch:0 "Restore the Ecumenical Patriarch"
VIJ_ideas:0 "Vijayanagar Ideas"
vij_promo_trade:0 "Promotion of Trade"
arab_horses:0 "Arab Horses"
harsh_penal_code:0 "Harsh Penal Code"
vij_tolerance:0 "Tolerance"
carnatic_music:0 "Carnatic Music"
adroit_diplomacy:0 "Adroit Diplomacy"
army_for_city_of_victory:0 "An Army for the City of Victory"
AYU_ideas:0 "Ayutthayan Ideas"
white_elephant:0 "White Elephant"
corvee_system:0 "The Corvee System"
ayu_foreign_mercenaries:0 "Foreign Mercenaries "
ayu_embassies:0 "Embassies"
trading_links:0 "Promotion of Trading links"
personal_executions:0 "Personal Executions"
phrai_luang:0 "Phrai Luang"
NOR_ideas:0 "Norwegian Ideas"
nor_fishing:0 "Encouraged Fishing"
natural_seamanship:0 "Natural Seamanship"
nor_shipbuilding:0 "Military Shipbuilding"
call_of_our_forefathers:0 "The Call of our Forefathers"
pioneer_spirit:0 "Pioneer Spirit"
seize_the_opportunity:0 "Seize the Opportunity"
write_new_sagas:0 "Write New Sagas"
OMA_ideas:0 "Omani Ideas"
association_with_unbelievers:0 "Association With Unbelievers"
local_merchant_preference:0 "Local Merchant Preference"
port_security_improvement:0 "Port Security Improvements"
secured_timber_supplies:0 "Securing Timber Supplies"
end_of_shipbuilding_guilds:0 "End of the Shipbuilding Guilds"
skilled_captains:0 "Skilled Captains"
expansion_of_trade_contacts:0 "Expansion of Trade Contacts"
KOR_ideas:1 "Korean Ideas"
hanguel_alphabet:2 "The Hangul Alphabet"
grand_code:0 "Grand Code for State Administration "
hyanyak_system:0 "Hyang'yak System "
geobukseon:0 "Geobukseon"
hopae_system:0 "The Hopae System"
kyujanggak:0 "The Kyujanggak"
kor_economy_reform:0 "Economic reform"
kor_uijeongbu:0 "Uijeongbu"
metal_movable_type:0 "Metal Movable Type"
choi_mu_seon_gunpower_engines:0 "Choi Mu-Seon Gunpowder Engines"
korean_artisanery:0 "Korean Artisanery"
BOH_ideas:0 "Bohemian Ideas"
compacta_of_prague:0 "Compacta of Prague"
boh_elective_monarchy:0 "Elective Monarchy"
wagenburg:0 "Wagenburg"
letter_of_majesty:0 "Letter of Majesty"
hussite_legacy:0 "Hussite Legacy"
kutnohorian_deal:0 "The Kutnohorian Deal"
czech_nationalism:0 "Czech Nationalism"
ITA_ideas:0 "Italian Ideas"
no_a_geographical_construct:0 "Not a Geographical Construct"
tradition_of_the_legion:0 "The Tradition of the Legion"
mare_nostrum:0 "Mare Nostrum"
office_of_censor:0 "The Office of Censor"
italian_tax_reform:0 "Italian Tax Reform"
heir_to_the_empire:0 "Heir to the Empire"
path_to_citizenship:0 "The Path to Citizenship"
MCH_ideas:0 "Manchu Ideas"
united_three_jurchens:0 "United Three Jurchens"
the_manchu_alphabet:0 "Manchu Alphabet"
manchu_eight_banners:0 "The Eight Banners"
link_with_the_mongol_dynasty:0 "Link with the Mongol Dynasty"
the_green_standard_army:0 "The Green Standard Army"
pigtail_or_death:0 "Pigtail or Death"
the_chinese_rules:0 "Chinese Laws"
PAL_ideas:0 "Palatinate Ideas"
imperial_vicar_and_archsteward:0 "Imperial Vicar and Archsteward"
heidelberg_university:0 "Heidelberg University"
center_of_reformation_in_southern_germany:0 "Center of Reformation in Southern Germany"
bibliotheca_palatina:0 "Bibliotheca Palatina"
heidelberg_catechism:0 "Heidelberg Catechism"
hortus_palatinus:0 "Hortus Palatinus"
mannheim_school_of_orchestra:0 "Mannheim school of Orchestra"
NOV_ideas:0 "Novgorod Ideas"
northern_center_of_arts:0 "Northern Center of Arts"
city_of_churches:0 "City of Churches"
ivans_hundred:0 "Ivan's Hundred"
control_of_the_hanseatic_kontor:0 "Control of the Hanseatic Kontor"
grand_dukes_army:0 "Grand Duke's Army"
exploration_tradition:0 "Funding the Ushkuiniks"
baltic_shipyard:0 "Baltic Shipyard"
ETH_ideas:0 "Ethiopian Ideas"
solomonid_claim:0 "Solomonid Claim"
nagusa_negast:0 "Negusa Negast"
hostile_borders:0 "Hostile Borders"
diplomatic_demeanor:0 "Diplomatic Demeanor"
the_ark_of_the_covenant:0 "The Ark of the Covenant"
eth_expansionist_policy:0 "Expansionist Policy"
eth_reformed_armies:0 "Reformed Armies"
DAI_ideas:0 "Dai Viet Ideas"
the_great_proclamation:0 "The Great Proclamation"
confucian_revival:0 "Confucian Revival"
autonomous_villages:0 "Autonomous Villages"
village_militia:0 "Village Militia"
don_dien:0 "Don Dien"
thuan_thien:0 "Thuan Thiên"
literary_reform:0 "Literary Reform"
SAV_ideas:0 "Savoyard Ideas"
